video_id,search_keyword,title,channel_name,upload_date,view_count,like_count,comment_count_total,comment_text,comment_author,comment_likes,comment_date
6i_K-OnZj9o,seblak karawang,Perjuangan Seblak RC: Dari Nol Hingga Dikenal Artis - Podcast,TitikTemu Media,2025-08-31T08:09:40Z,422,37,2,Enak banget teh mantap poll,@SariSusanti-p6p6g,0,2025-09-09T04:42:30Z
PfzVwyEgMLg,coffee shop aesthetic karawang,"Tangerang Vlog🌿 Cafe Hopping Gading Serpong, Jakarta Premium Outlet, Monokuro Wagyu (Silent Vlog)",shade by Sora,2025-11-21T12:00:52Z,18,0,1,what a comfy vlog ❤,@adhsh607,1,2025-11-21T12:28:14Z
23fPI2-FvSA,coffee shop aesthetic karawang,"hidden gems in Jakarta (cafes, specialty coffee & hangout spots)",estelleinaday,2025-11-06T08:00:03Z,7788,154,2,"Miss Pretty,where are you come from?thanks for sharing all nice video visit cute coffee shop💐💐💐😍😍😍",@fadjrinsanh7908,2,2025-11-10T04:08:03Z
c-8WShfUeyM,coffee shop aesthetic karawang,"Warga Jakarta yang mau healing tapi mager, mendingan ke sini deh! #cafejakarta #jakarta #cafe",YUKKUY,2025-11-02T11:26:43Z,1907,15,0,,,0,
g-E9xR8jMOc,coffee shop aesthetic karawang,Semesta gallery bandar kopi jakarta selatan rekomendasi cafe wfc estetik ada rusanya juga gaes,sukamakanjajanjalan,2025-10-12T03:39:39Z,1253,13,0,,,0,
RGl33OlE4kg,coffee shop aesthetic karawang,NGOPI DI DALAM ART GALERI🌟,Fun traveling with salim,2025-10-10T09:02:36Z,177,5,1,Miki sound😂,@japfamily9618,1,2025-10-24T00:27:46Z
YBeuvZUPcBw,coffee shop aesthetic karawang,"The Cafe Menteng 📍Menteng, Jakarta Pusat #cafehopping #coffeeshopjakarta #kopi #jakartahits #cafe",Coffee The Explorer,2025-10-07T05:00:40Z,98,1,0,,,0,
bbITzlBXcc0,coffee shop aesthetic karawang,"Jakarta vlog (dessert market, trendy finds, coffee, popular burger & sandwiches)",estelleinaday,2025-09-25T08:00:49Z,9078,163,9,Your vlog is so relaxing love it!,@OrangeJessamine797,0,2025-10-13T04:22:46Z
bbITzlBXcc0,coffee shop aesthetic karawang,"Jakarta vlog (dessert market, trendy finds, coffee, popular burger & sandwiches)",estelleinaday,2025-09-25T08:00:49Z,9078,163,9,"Yang selalu ditunggu.suka banget nonton vlog estetik ini,apalagi kalau bahas tentang kopi.kyak aarrrgh kenapa keren banget. Semangatt yaa❤",@mhlnindaz,0,2025-09-26T00:11:20Z
bbITzlBXcc0,coffee shop aesthetic karawang,"Jakarta vlog (dessert market, trendy finds, coffee, popular burger & sandwiches)",estelleinaday,2025-09-25T08:00:49Z,9078,163,9,"Nice coffee and interesting sights, thanks for sharing ❤",@HeyJeannie,0,2025-09-25T09:06:10Z
bbITzlBXcc0,coffee shop aesthetic karawang,"Jakarta vlog (dessert market, trendy finds, coffee, popular burger & sandwiches)",estelleinaday,2025-09-25T08:00:49Z,9078,163,9,ขนมน่ากินมากจ้า,@nattykaram,0,2025-09-25T08:51:27Z
bbITzlBXcc0,coffee shop aesthetic karawang,"Jakarta vlog (dessert market, trendy finds, coffee, popular burger & sandwiches)",estelleinaday,2025-09-25T08:00:49Z,9078,163,9,❤❤❤,@ferielfifi8880,0,2025-09-25T11:17:34Z
HI2GUGnZs-Q,coffee shop aesthetic karawang,Hidden Gem Cafe murah Aesthetic Itam manis￼ #cafejakarta #kuliner #fypage #jaksel #travelgoodtm,DTM Studio,2025-09-23T14:00:24Z,1882,11,0,,,0,
NBKw-6NPFJg,coffee shop aesthetic karawang,Kafe Ini Hidden Gem di Jakarta Timur! #cafe #recap #travel #aesthetic,Muhammad Hujairin,2025-09-20T12:18:35Z,113,0,0,,,0,
pUYknhr2c8M,coffee shop aesthetic karawang,Resto Estetik di Jakarta Timur #jakartatimur #cafeestetik #ngopi #nongkrong #jaktim #jakartahits,Hanhanflower-Hobi Jalan Jalan,2025-09-19T01:21:06Z,351,2,0,,,0,
