Nama_Tempat,Kategori,Jenis_Masakan,Latitude,Longitude,Alamat_Jalan,Kota
Warsun,restaurant,,-6.2809745999999995,106.9983234,,
Soto Mie Bogor Pak Adeng Slamat,restaurant,,-6.280987299999999,106.99836899999998,,
Warkop Ridwan 2,fast_food,,-6.2810067,106.9984435,,
Donat,fast_food,,-6.295050499999999,106.9970123,,
Soto,restaurant,,-6.2950969,106.9973912,,
Nasi Uduk Bu Caplin,restaurant,,-6.2950323,106.9974301,,
Pd. Kopi,apartment,,-6.2321667,106.93794049999998,Jalan Haji Mansur,
RM Padang Anda,restaurant,,-6.295062,106.99762279999999,,
Kabita,fast_food,juice,-6.278816,107.02529129999999,,
Indomart,convenience,,-6.217284299999999,106.939792,,
Warteg Barokah I,restaurant,,-6.270618999999999,107.00616800000002,,
Warmindo,restaurant,,-6.298076000000001,106.9999536,,
Soto Mie Bogor A'Aden,restaurant,,-6.2982093,107.00011249999999,Jalan Mandor Demong,
RM Pancuran Tujuh,restaurant,,-6.298187999999998,107.0000294,,
Warteg,restaurant,,-6.2729667,107.01791489999998,,
Kopi Terpingkal,cafe,coffee;tea;milk;espresso,-6.2802905,106.9984834,Jalan Trisatya No. 3 RT 2/4 Kel. Bojong Rawalumbu Kec. Rawalumbu,Bekasi
Bakmi Jawa Miroso,restaurant,,-6.2630447,106.9461635,Jalan Caman Raya,
Grand Caman Hotel,hotel,,-6.2641382,106.94480409999998,Jalan Caman Raya,
Starbucks,cafe,coffee_shop,-6.248994599999999,106.95617769999998,,
Total Buah Segar,supermarket,,-6.228054299999999,107.0023134,,
Bi-One Hotel,hotel,,-6.2486765,106.9555193,,
Hotel Phoenix Diron,hotel,,-6.249405800000001,106.95543719999999,,
Chatime,cafe,bubble_tea,-6.2526806,106.9524906,,
KGV 2 Blok E2/10,cafe,coffee_shop,-6.346452500000001,107.30043829999998,Jl. Bahama 2,Karawang
Kopi Kawaji,cafe,,-6.256228299999998,106.93474499999999,,
Arung Coffee,cafe,,-6.262104999999998,106.94451379999998,,
Nara Coffee,cafe,,-6.262700899999998,106.9450202,,
Oppi Kopi Bekasi,cafe,coffee_shop,-6.2412654,106.9967179,Jl kemakmuran 3 no 44 Rt 04/ Rw 04 Kel margajaya Kec bekasi selatan,Bekasi
Oppi Kopi,cafe,coffee_shop,-6.3945666999999995,106.9593192,"Jl.Pahlawan, Kampung tengah no.1, Cileungsi",Limus Nunggal
Kedai Pradipa,restaurant,Satay;fried_chicken,-6.396549999999999,106.9432321,Ruko Little China,Bogor
IT Center ID | JSR B2/21,supermarket,,-6.363036,107.0933368,Jln. Kongsi 2,Kab. Bekasi
Ameira Bakery,bakery,,-6.2565444,106.9423351,Jalan Kincan Raya,
Kopi Kenangan,cafe,,-6.252343899999999,106.95261159999998,,
Janji Jiwa,cafe,,-6.2524471,106.9525792,,
Soto Gading Kalibata,restaurant,indonesian,-6.2751561,106.9749104,,
MÜZE Coffee & Eatery,cafe,,-6.2527554,106.95247349999998,,
Yoshinoya,fast_food,beef_bowl,-6.2487272,106.9573451,,
Abuba Steak,restaurant,,-6.248321399999999,106.95734089999999,,
Warunk Sugih,cafe,coffee_shop;japanese;korean,-6.2754397,106.95185699999999,Jalan Dokter Ratna,Bekasi
Zuri Express,hotel,,-6.3279268,107.1262837,,
Shell,convenience,,-6.367502699999999,106.96917729999998,,
Mc Donald Kosambi Karawang,restaurant,,-6.3671067,107.3687252,,
Talaga Sampireun,restaurant,indonesian,-6.244734899999999,106.958393,,
RM. Saung Kabogoh Cikampek,restaurant,,-6.398924799999999,107.46165469999998,,
